topic_id	size	top_keywords
0	20407	man, live, mind, everi, noth, world, better, realli, head, leav, dream, end
1	1010	alway, run, mind, leav, everi, better, stay, dream, realli, live, head, someth
2	874	fall, anoth, apart, break, leav, everi, head, mind, live, dream, stay, pre
3	1192	girl, littl, bit, everi, world, boy, good, man, pretti, mind, crazi, leav
4	242	aliv, die, surviv, dead, live, end, moment, light, hope, mind, world, stay
5	350	lie, truth, live, cri, mind, realli, die, leav, believ, alon, insid, left
6	728	god, lord, jesu, pray, thank, bless, prais, holi, sin, heaven, man, soul
7	436	chang, mind, world, stay, everyth, noth, someth, alway, stop, end, everi, peopl
8	358	forev, togeth, alway, live, better, noth, young, stay, end, world, dream, everi
9	342	blue, sky, rain, true, cri, new, old, alway, red, everi, turn, sun
10	186	nobodi, els, alon, bodi, somebodi, save, told, everybodi, trust, cri, man, die
11	405	home, alon, place, long, road, left, leav, wait, far, stay, world, light
12	123	christma, merri, year, tree, mistleto, snow, santa, home, bell, littl, light, present
13	310	wait, long, leav, fall, hold, everyth, world, mind, noth, believ, wast, end
14	453	hold, hand, close, arm, noth, tight, world, leav, alon, pre, stay, stand
15	379	tonight, alright, hold, light, alon, mind, home, live, leav, everyth, hand, fall
16	380	good, bad, girl, man, better, someth, leav, old, friend, realli, alway, cri
17	188	danc, chanc, hand, everybodi, song, world, girl, tonight, watch, music, stop, round
18	339	pleas, stay, leav, help, alon, mind, someon, beg, gone, knee, hand, hold
19	915	light, burn, shine, dark, star, turn, sun, sky, bright, world, dream, moon
20	437	gone, long, wrong, far, leav, stay, song, left, alon, miss, noth, home
21	192	easi, hard, leav, forget, believ, everi, dream, fight, fall, walk, thought, better
